#node	date	numeric date
NODE_0000149	1916-04-09	1916.271079
NODE_0000150	1942-10-02	1942.751056
JN400519.1_693a_2009	2009-01-01	2009.000000
NODE_0000151	1952-05-06	1952.346662
NODE_0000152	1978-08-27	1978.654605
HM627652.1_JY_2011	2011-01-01	2011.000000
JN400518.1_14a_2009	2009-01-01	2009.000000
NODE_0000153	1959-03-29	1959.240337
ON014651.1_17484-1_2017	2017-01-01	2017.000000
NODE_0000154	1963-03-18	1963.209241
GQ884044.1_33800005_1g_2006	2006-01-01	2006.000000
ON014654.1_6754-1_2015	2015-01-01	2015.000000
NODE_0000155	1924-12-19	1924.965310
NODE_0000156	1951-01-02	1951.003596
NODE_0000157	1967-04-18	1967.293841
GQ884038.1_32340005_2f_2005	2005-01-01	2005.000000
ON014610.1_PS1759_2021	2021-01-01	2021.000000
NODE_0000158	1956-02-24	1956.148086
NODE_0000159	1971-06-18	1971.460970
ON014685.1_123456_DEU_NA_2004	2004-01-01	2004.000000
ON982164.1_PPV1KUIP22-1_2016	2016-01-01	2016.000000
NODE_0000160	1979-02-04	1979.093768
AY684871.1_27a_2001	2001-01-01	2001.000000
AY684868.1_21a_2006	2006-01-01	2006.000000
NODE_0000161	1941-05-27	1941.401624
NODE_0000168	1966-11-21	1966.889818
GQ884041.1_33760005_3a_2006	2006-01-01	2006.000000
ON014649.1_3377-1_2017	2017-01-01	2017.000000
NODE_0000169	1957-10-15	1957.786854
ON014688.1_PS3401_2021	2021-01-01	2021.000000
NODE_0000170	1965-08-08	1965.600653
AY684865.1_15a_2005	2005-01-01	2005.000000
NODE_0000171	1978-05-03	1978.335075
ON014614.1_19V263-19-44862_2019	2019-01-01	2019.000000
GQ884037.1_32260005_1d_2005	2005-01-01	2005.000000
NODE_0000162	1941-06-26	1941.484040
NODE_0000163	1958-01-11	1958.027830
JQ249917.1_WB-631_2011	2011-01-01	2011.000000
NODE_0000164	1965-05-27	1965.402201
ON014613.1_PS518_2020	2020-01-01	2020.000000
KC296746.1_80T_2010	2010-01-01	2010.000000
NODE_0000165	1956-03-05	1956.176741
PQ757594.1_PPV1-MosWB91_2023	2023-01-01	2023.000000
NODE_0000166	1982-06-17	1982.457778
ON014625.1_12426-1_2017	2017-01-01	2017.000000
ON014622.1_2074-7_2009	2009-01-01	2009.000000
